Nombre,Nacionalidad,Club
Thibaut Courtois,Belgica,Real Madrid
Thibaut Courtois,Belgica,Chelsea
Thibaut Courtois,Belgica,Atletico Madrid
Andriy Lunin,Ucrania,Real Madrid
Dean Huijsen,Espana,Real Madrid
Dean Huijsen,Espana,Roma
Dean Huijsen,Espana,Juventus
Eder Millitao,Brasil,Real Madrid
Eder Millitao,Brasil,Porto
Raul Asencio,Espana,Real Madrid
Antonio Rudiger,Alemania,Real Madrid
Antonio Rudiger,Alemania,Chelsea
Antonio Rudiger,Alemania,Roma
Antonio Rudiger,Alemania,Borussia Dortmund
Antonio Rudiger,Alemania,Stuttgart
David Alaba,Austria,Real Madrid
Trent Alexander-Arnold,Inglaterra,Real Madrid
Trent Alexander-Arnold,Inglaterra,Liverpool
Daniel Carvajal,Espana,Real Madrid
Daniel Carvajal,Espana,Leverkusen
Aurelien Tchouameni,Francia,Monaco
Aurelien Tchouameni,Francia,Real Madrid 
Federico Valverde,Uruguay,Real Madrid
Federico Valverde,Uruguay,Penarol
Jude Bellingham,Inglaterra,Real Madrid
Jude Bellingham,Inglaterra,Borussia Dortmund
Vinicius Junior,Brasil,Flamengo
Vinicius Junior,Brasil,Real Madrid
Kylian Mbappe,Francia,Monaco
Kylian Mbappe,Francia,PSG
Kylian Mbappe,Francia,Real Madrid
Gianluigi Donnarumma,Italia,AC Milan
Gianluigi Donnarumma,Italia,PSG
Gianluigi Donnarumma,Italia,Manchester City
Rodri,Espana,Atletico Madrid
Rodri,Espana,Manchester City
Phil Foden,Inglaterra,Manchester City
Bernardo Silva,Portugal,Monaco
Bernardo Silva,Portugal,Benfica
Bernardo Silva,Portugal,Manchester City
Erling Haaland,Noruega,Borussia Dortmund
Erling Haaland,Noruega,Manchester City
Declan Rice,Inglaterra,Arsenal
Martin Odegaard,Noruega,Arsenal
Martin Odegaard,Noruega,Real Madrid
Gabriel Martinelli,Brasil,Arsenal
Bukayo Saka,Inglaterra,Arsenal
Viktor Gyokeres,Suecia,Arsenal
Viktor Gyokeres,Suecia,Sporting
Marquinhos,Brasil,Corinthians
Marquinhos,Brasil,Roma
Marquinhos,Brasil,PSG
Nuno Mendes,Portugal,Sporting
Nuno Mendes,Portugal,PSG
Achraf Hakimi,Marruecos,Real Madrid
Achraf Hakimi,Marruecos,inter
Achraf Hakimi,Marruecos,Borussia Dortmund
Achraf Hakimi,Marruecos,PSG
Vitinha,Portugal,PSG
Vitinha,Portugal,Porto
Joao Neves,Portugal,Benfica
Joao Neves,Portugal,PSG
Kvartskhelia,Georgia,Napoli
Kvartskhelia,Georgia,PSG
Bradley Barcola,Francia,Lyon
Bradley Barcola,Francia,PSG
Desire Doue,Francia,PSG
Ousmane Dembele,Francia,Borussia Dortmund
Ousmane Dembele,Francia,Barcelona
Ousmane Dembele,Francia,PSG
Ronald Araujo,Uruguay,Barcelona
Jules Kounde,Francia,Sevilla
Jules Kounde,Francia,Barcelona
Joao Cancelo,Portugal,Benfica
Joao Cancelo,Portugal,Inter 
Joao Cancelo,Portugal,Juventus
Joao Cancelo,Portugal,Bayern Munich
Joao Cancelo,Portugal,Manchester City
Joao Cancelo,Portugal,Barcelona
Frenkie de Jong,Paises Bajos,Barcelona
Frenkie de Jong,Paises Bajos,Ajax
Raphinha,Brasil,Sopting 
Raphinha,Brasil,Barcelona
Marcus Rashford,Inglaterra,Manchester United
Marcus Rashford,Inglaterra,Aston Villa
Marcus Rashford,Inglaterra,Barcelona
Lamine Yamal,Espana,Barcelona
Pedri,Espana,Barcelona
Robert Lewandowski,Polonia,Bayern Munich
Robert Lewandowski,Polonia,Borussia Dortmund
Robert Lewandowski,Polonia,Barcelona
Marc Cucurella,Espana,Barcelona
Marc Cucurella,Espana,Chelsea
Malo Gusto,Francia,Lyon
Malo Gusto,Francia,Chelsea
Moises Caicedo,Ecuador,Chelsea
Enzo Fernandez,Argentina,Benfica
Enzo Fernandez,Argentina,River Plate
Enzo Fernandez,Argentina,Chelsea
Cole Palmer,Inglaterra,Chelsea
Alejandro Garnacho,Argentina,Chelsea
Alejandro Garnacho,Argentina,Manchester United
Estevao,Brasil,Palmeiras
Estevao,Brasil,Chelsea
Pedro Neto,Portugal,Lazio
Pedro Neto,Portugal,Chelsea
Vigil van Dijk,Paises Bajos,Liverpool
Alexis Mac Allister,Argentina,Boca Juniors
Alexis Mac Allister,Argentina,Liverpool
Mohamed Salah,Egipto,Chelsea
Mohamed Salah,Egipto,Roma
Mohamed Salah,Egipto,Liverpool
Alexander Isak,Suecia,Borussia Dortmund
Alexander Isak,Suecia,Newcastle
Alexander Isak,Suecia,Liverpool
Hugo Ekitike,Francia,PSG
Hugo Ekitike,Francia,Liverpool
Alisson,Brasil,Roma
Alisson,Brasil,Liverpool
Manuel Neuer,Alemania,Bayern Munich
Alphonso Davies,Canada,Bayern Munich
Luis Diaz,Colombia,Junior
Luis Diaz,Colombia,Porto
Luis Diaz,Colombia,Liverpool
Luis Diaz,Colombia,Bayern Munich
Michael Olise,Francia,Crystal Palace
Michael Olise,Francia,Bayern Munich
Harry Kane,Inglaterra,Tottenham
Harry Kane,Inglaterra,Bayern Munich
Xavi Simons,Paises Bajos,PSG
Xavi Simons,Paises Bajos,PSV
Xavi Simons,Paises Bajos,Tottenham
Lisandro Martinez,Argentina,Ajax
Lisandro Martinez,Argentina,Manchester United
Harry Maguire,Inglaterra,Manchester United
Casemiro,Brasil,Real Madrid
Casemiro,Brasil,Porto
Casemiro,Brasil,Manchester United
Bruno Fernandes,Portugal,Sporting
Bruno Fernandes,Portugal,Manchester United
Bruno Guimaraes,Brasil,Lyon
Bruno Guimaraes,Brasil,Newcastle
Yann Sommer,Suiza,Bayern Munich
Yann Sommer,Suiza,Inter
Alessandro Bastoni,Italia,Inter
Federico Dimarco,Italia,Inter
Lautaro Martinez,Argentina,Inter
Lautaro Martinez,Argentina,Racing
Marcus Thuram,Francia,Inter
Pio Esposito,Italia,Inter
Jan Oblak,Eslovenia,Benfica
Jan Oblak,Eslovenia,Atletico Madrid
Robin Le Normand,Espana,Atletico Madrid
Thiago Almada,Argentina,Botafogo
Thiago Almada,Argentina,Lyon
Thiago Almada,Argentina,Atletico Madrid
Giuliano Simeone,Argentina,Atletico Madrid
Julian Alvarez,Argentina,River Plate
Julian Alvarez,Argentina,Manchester City
Julian Alvarez,Argentina,Atletico Madrid
Antoine Griezmann,Francia,Barcelona
Antoine Griezmann,Francia,Atletico Madrid
Dibu Martinez,Argentina,Arsenal
Dibu Martinez,Argentina,Aston Villa
Bremer,Brasil,Juventus
Pierre Kalulu,Francia,AC Milan
Pierre Kalulu,Francia,Juventus
Daniel Munoz,Colombia,Nacional
Daniel Munoz,Colombia,Crystal Palace
Brennan Jhonson,Gales,Tottenham
Brennan Jhonson,Gales,Crystal Palace
Jobe Bellingham,Inglaterra,Borussia Dortmund
Luka Modric,Croacia,Tottenham
Luka Modric,Croacia,Real Madrid
Luka Modric,Croacia,AC Milan
Rafael Leao,Portugal,Sporting
Rafael Leao,Portugal,Lille
